id,tree,vegetable,element,animal,color,instrument,fruit
1465,Palm,sweet potato,Ruthenium,tapir,Red Violet,Auxanometer,physalis
1466,Fir,garlic,Astatine,horse,Wild Blue Yonder,Acetimeter,date
1467,Juniper,mamey,Cerium,elk,Shamrock,Seismometer,raspberry
1468,Beech,jicama,Plutonium,skunk,Eggplant,Nephoscope,pear
1469,Alder,green pepper,Lead,chinchilla,Desert Sand,Pantograph,plum
1470,Gum,sweet potato,Iodine,guinea pig,Green Yellow,Laparoscope,lime
1471,Sumac,skirret,Xenon,mountain goat,Jungle Green,Geothermometer,redcurrant
1472,Linden,fennel,Holmium,raccoon,Yellow Green,Oenometer,chili pepper
1473,Ash,chives,Bromine,donkey,Inchworm,Heliometer,tomato
1474,Cypress,fiddlehead,Darmstadtium,chameleon,Vivid Tangerine,Epidiascope,clementine
1475,Birch,oregano,Vanadium,boar,Pink Sherbert,Thermometrograph,eggplant
1476,Poplar,hubbard squash,Nickel,cow,White,Piezometer,plum
1477,Pine,green pepper,Lithium,donkey,Razzle Dazzle Rose,Pharyngoscope,lemon
1478,Yellowwood,spinach,Ununhexium,grizzly bear,Shamrock,Crescograph,raspberry
1479,Pear,zucchini,Chlorine,aardvark,Goldenrod,Areometer,bilberry
1480,Plum,tubers,Thorium,walrus,Mahogany,Polarimeter,orange
1481,Cypress,chamomile,Iron,gila monster,Neon Carrot,Meteorograph,blackberry
1482,Locust,arugula,Selenium,donkey,Burnt Sienna,Sympiesometer,feijoa
1483,Linden,paprika,Hassium,mongoose,Macaroni and Cheese,Seismometer,redcurrant
1484,Peach,thyme,Cadmium,mountain goat,Cornflower,Pyroscope,durian
1485,Sassafras,kidney bean,Nickel,sheep,Aquamarine,Urinometer,satsuma
1486,Alder,chayote,Oxygen,tiger,Periwinkle,Rotameter,apricot
1487,Elm,corn salad,Radium,sheep,Yellow,Sphygmometer,honeydew
1488,Alder,fennel,Radon,badger,Tickle Me Pink,Telespectroscope,kiwi fruit
1489,Sassafras,thyme,Lithium,bison,Tickle Me Pink,Oscillometer,salal berry
1490,Hawthorn,broad beans,Samarium,opossum,Chestnut,Viscometer,lychee
1491,Olive,runner bean,Platinum,giraffe,Canary,Electrometer,pamelo
1492,Yellowwood,courgette,Helium,finch,Atomic Tangerine,Radioscope,elderberry
1493,Willow,rhubarb,Phosphorus,hog,Violet,Stethoscope,tamarillo
1494,Alder,ginger,Francium,newt,Electric Lime,Haptometer,blood orange
1495,Redwood,oregano,Silicon,gorilla,Green,Tenderometer,canary melon
1496,Elm,lettuce,Manganese,mouse,Silver,Coronagraph,olive
1497,Tulip Tree,snap pea,Gadolinium,moose,Denim,Rotameter,strawberry
1498,Juniper,anise,Bromine,hedgehog,Jungle Green,Orchidometer,pear
1499,Fir,corn salad,Helium,badger,Vivid Tangerine,Snooperscope,raisin
1500,Yellowwood,cayenne pepper,Palladium,silver fox,Green,Retinoscope,durian
1501,Beech,cilantro,Sulfur,ocelot,Beaver,Marigraph,olive
1502,Linden,acorn squash,Iridium,shrew,Pink Flamingo,Turbidimeter,durian
1503,Palm,carrot,Technetium,armadillo,Manatee,Helioscope,pomegranate
1504,Dogwood,arugula,Dubnium,cow,Desert Sand,Absorptiometer,blood orange
1505,Chestnut,legume,Holmium,ape,Melon,Mileometer,ugli fruit
1506,Elm,tat soi,Molybdenum,chameleon,Asparagus,Tocodynamometer,pineapple
1507,Willow,cauliflower,Europium,ox,Blue,Orchidometer,raisin
1508,Spruce,scallion,Astatine,wolf,Fern,Cardiograph,mandarine
1509,Beech,mushroom,Tantalum,koala,Granny Smith Apple,Dioptometer,strawberry
1510,Walnut,wasabi,Bohrium,goat,Green Yellow,Spectrograph,papaya
1511,Alder,cauliflower,Berkelium,woodchuck,Cotton Candy,Radiometer,olive
1512,Willow,spaghetti squash,Ytterbium,elk,Tickle Me Pink,Riometer,olive
1513,Locust,broccoli,Fermium,iguana,Blush,Stagmometer,raspberry
1514,Larch,broccoflower,Cadmium,cheetah,Yellow Orange,Variometer,huckleberry
1515,Apple,rosemary,Astatine,oryx,Forest Green,Stethoscope,cherry
1516,Locust,soy bean,Dubnium,turtle,Robin's Egg Blue,Strabismometer,canary melon
1517,Magnolia,spinach,Cerium,beaver,Cotton Candy,Topophone,tomato
1518,Locust,runner bean,Nitrogen,parakeet,Cadet Blue,Tribometer,kumquat
1519,Apple,skirret,Caesium,bat,Beaver,Luxmeter,tomato
1520,Linden,cabbage,Radium,panda,Green Yellow,Prisoptometer,watermelon
1521,Willow,pinto bean,Iodine,chameleon,Electric Lime,Decelerometer,pomegranate
1522,Plum,scallion,Barium,newt,Pacific Blue,Tremograph,lime
1523,Fir,carrot,Sodium,wildcat,Carnation Pink,Tachograph,kumquat
1524,Birch,snap pea,Neptunium,moose,Scarlet,Ballistocardiograph,guava
1525,Peach,tubers,Arsenic,porcupine,Purple Heart,Manometer,blackcurrant
1526,Larch,rosemary,Copper,woodchuck,Fern,Strabometer,olive
1527,Palm,skirret,Palladium,frog,Periwinkle,Drosometer,star fruit
1528,Larch,rutabaga,Selenium,finch,Tickle Me Pink,Retinoscope,chili pepper
1529,Cypress,pea,Magnesium,warthog,Magenta,Auxometer,cloudberry
1530,Pear,bean sprout,Molybdenum,wolf,Brick Red,Tocodynamometer,cherry
1531,Ash,garlic,Curium,cheetah,Red Orange,Lactoscope,pomelo
1532,Larch,jicama,Silicon,salamander,Wild Blue Yonder,Radioscope,cranberry
1533,Birch,arugula,Palladium,beaver,Maroon,Tenderometer,coconut
1534,Dogwood,chard,Cadmium,parrot,Pink Sherbert,Thalassometer,cantaloupe
1535,Oak,taro,Curium,hog,Pink Sherbert,Radiometeorograph,damson
1536,Cedar,kale,Francium,bison,Sea Green,Acetimeter,goji berry
1537,Hickory,mushroom,Lawrencium,panther,Plum,Statoscope,elderberry
1538,Hickory,fiddlehead,Tellurium,silver fox,Radical Red,Thoracoscope,purple mangosteen
1539,Sumac,marjoram,Lithium,parrot,Yellow Green,Peirameter,jambul
1540,Hickory,collard green,Rubidium,canary,Purple Heart,Atmometer,kumquat
1541,Elm,runner bean,Promethium,mynah bird,Yellow Orange,Tachograph,durian
1542,Tupelo,white radish,Hassium,gila monster,Shadow,Solarimeter,cranberry
1543,Elm,corn,Ununpentium,rabbit,Tan,Tremograph,papaya
1544,Birch,rosemary,Niobium,newt,Purple Heart,Ophthalmoscope,lime
1545,Larch,broccoli,Scandium,bison,Antique Brass,Absorptiometer,grape
1546,Hawthorn,ginger,Beryllium,camel,Hot Magenta,Epidiascope,kumquat
1547,Hickory,jerusalem artichoke,Chlorine,donkey,Vivid Tangerine,Ergograph,damson
1548,Tupelo,chard,Ruthenium,sheep,Cotton Candy,Trigonometer,blueberry
1549,Crabapple,cayenne pepper,Plutonium,oryx,Blue Green,Myograph,physalis
1550,Olive,navy bean,Cadmium,reindeer,Green,Planigraph,avocado
1551,Sassafras,habanero,Tin,pig,Plum,Altimeter,physalis
1552,Walnut,corn salad,Nobelium,silver fox,Eggplant,Pharyngoscope,jambul
1553,Tulip Tree,broccoflower,Iodine,raccoon,Gold,Galactometer,papaya
1554,Hawthorn,corn,Mendelevium,lamb,Pink Flamingo,Acidimeter,currant
1555,Peach,chard,Fluorine,crocodile,Cadet Blue,Quantometer,persimmon
1556,Peach,basil,Astatine,baboon,Plum,Odometer,redcurrant
1557,Gum,frisee,Actinium,salamander,Maroon,Trocheameter,watermelon
1558,Tulip Tree,courgette,Darmstadtium,dromedary,Pine Green,Sepometer,feijoa
1559,Birch,anise,Praseodymium,iguana,Cotton Candy,Crescograph,avocado
1560,Juniper,gem squash,Lawrencium,antelope,Cerulean,Fathometer,kumquat
1561,Crabapple,chives,Molybdenum,lamb,Midnight Blue,Meldometer,rock melon
1562,Crabapple,green bean,Krypton,moose,Red,Anemograph,blackberry
1563,Yellowwood,shallot,Argon,parakeet,Asparagus,Swingometer,banana
1564,Palm,paprika,Tin,deer,Granny Smith Apple,Tomograph,fig
1565,Linden,navy bean,Uranium,chinchilla,Denim,Kymograph,star fruit
1566,Dogwood,radicchio,Molybdenum,hedgehog,Antique Brass,Opacimeter,mandarine
1567,Maple,frisee,Neptunium,ibex,Tickle Me Pink,Salinometer,coconut
1568,Dogwood,dill,Tellurium,cat,Tan,Riometer,eggplant
1569,Cherry,okra,Radon,ape,Midnight Blue,Haptometer,blackberry
1570,Walnut,cauliflower,Osmium,mynah bird,Pink Flamingo,Phonautograph,clementine
1571,Larch,scallion,Erbium,pig,Fern,Anemometer,redcurrant
1572,Redwood,dill,Scandium,moose,Wild Strawberry,Atmometer,kiwi fruit
1573,Walnut,snap pea,Roentgenium,capybara,Sky Blue,Galactometer,chili pepper
1574,Cedar,anise,Zinc,gorilla,Burnt Orange,Electromyograph,chili pepper
1575,Willow,beet,Phosphorus,yak,Neon Carrot,Radarscope,coconut
1576,Cypress,daikon,Fermium,platypus,Canary,Siccimeter,tangerine
1577,Cypress,taro,Barium,parrot,Wild Watermelon,Anemograph,kiwi fruit
1578,Elderberry,ginger,Fermium,rhinoceros,Wild Watermelon,Riometer,persimmon
1579,Elderberry,thyme,Cobalt,wolf,Spring Green,Helicograph,mandarine
1580,Ash,lentils,Rutherfordium,squirrel,Bittersweet,Pantograph,lemon
1581,Hickory,mustard green,Germanium,cat,Vivid Tangerine,Polariscope,blackberry
1582,Sumac,patty pan,Einsteinium,crow,Caribbean Green,Orchidometer,persimmon
1583,Elm,frisee,Gadolinium,deer,Cerise,Decelerometer,orange
1584,Peach,leek,Neon,shrew,Turquoise Blue,Labidometer,cantaloupe
1585,Locust,kohlrabi,Bohrium,armadillo,Pink Sherbert,Goniometer,cranberry
1586,Cherry,asparagus,Terbium,prairie dog,Sepia,Ellipsograph,canary melon
1587,Sassafras,rosemary,Rutherfordium,ibex,Vivid Violet,Microseismometer,cherry
1588,Dogwood,basil,Lutetium,iguana,Raw Sienna,Auriscope,banana
1589,Walnut,cucumber,Krypton,jaguar,Shocking Pink,Snooperscope,satsuma
1590,Beech,chives,Gallium,koala,Atomic Tangerine,Permeameter,blackcurrant
1591,Willow,snap pea,Bohrium,panda,Raw Sienna,Electroencephalograph,cloudberry
1592,Palm,bok choy,Aluminium,antelope,Burnt Orange,Endosmometer,damson
1593,Redwood,tabasco pepper,Zirconium,crocodile,Brown,Udometer,olive
1594,Redwood,wasabi,Dubnium,mandrill,Gray,Ophthalmometer,quince
1595,Elderberry,scallion,Ununquadium,turtle,Copper,Spectrograph,bilberry
1596,Dogwood,artichoke,Hafnium,guinea pig,Fuzzy Wuzzy,Colposcope,apricot
1597,Gum,broccoflower,Polonium,wildcat,Asparagus,Sepometer,nectarine
1598,Sumac,caraway,Palladium,orangutan,Plum,Oleometer,redcurrant
1599,Palm,basil,Seaborgium,dingo,Salmon,Opeidoscope,eggplant
1600,Pine,cayenne pepper,Dysprosium,moose,Antique Brass,Pyrheliometer,apricot
1601,Maple,nopale,Meitnerium,leopard,Tropical Rain Forest,Sensitometer,honeydew
1602,Elm,marjoram,Cobalt,lizard,Jungle Green,Torsiograph,strawberry
1603,Pear,wasabi,Indium,cougar,Asparagus,Oscillograph,breadfruit
1604,Elderberry,lemon grass,Tin,orangutan,Royal Purple,Kymograph,mulberry
1605,Linden,cauliflower,Holmium,jaguar,Fern,Audiometer,cantaloupe
1606,Holly,sweet potato,Dubnium,ground hog,Screamin' Green,Ebullioscope,goji berry
1607,Peach,watercress,Bohrium,finch,Hot Magenta,Scoliometer,quince
1608,Magnolia,kidney bean,Carbon,frog,Scarlet,Spectrohelioscope,mandarine
1609,Fir,garlic,Palladium,wildcat,Granny Smith Apple,Drosometer,mulberry
1610,Apple,chard,Samarium,elk,Lavender,Cathetometer,passionfruit
1611,Magnolia,jerusalem artichoke,Strontium,alligator,Pink Flamingo,Iconometer,goji berry
1612,Elderberry,sage,Lithium,rat,Pine Green,Eudiometer,ugli fruit
1613,Ash,kohlrabi,Beryllium,ibex,Jazzberry Jam,Actinograph,physalis
1614,Tupelo,fennel,Krypton,ground hog,White,Typhlograph,goji berry
1615,Crabapple,parsley,Scandium,goat,Vivid Tangerine,Oncometer,coconut
1616,Pine,eggplant,Titanium,alpaca,Purple Heart,Strabometer,tamarillo
1617,Sumac,chives,Hydrogen,mongoose,Brick Red,Hygroscope,jackfruit
1618,Tulip Tree,pumpkin,Ununtrium,alligator,Apricot,Lactoscope,damson
1619,Oak,wasabi,Selenium,alpaca,Shadow,Lysimeter,avocado
1620,Crabapple,scallion,Thorium,gila monster,Burnt Sienna,Diagometer,canary melon
1621,Olive,parsnip,Promethium,koala,Sea Green,Spectroheliokinematograph,nectarine
1622,Alder,tabasco pepper,Americium,giraffe,Shamrock,Lactoscope,grapefruit
1623,Willow,rhubarb,Francium,alligator,Indigo,Opisometer,nectarine
1624,Juniper,delicata,Ununquadium,sloth,Yellow,Radarscope,huckleberry
1625,Ash,asparagus,Hydrogen,bear,Violet Red,Stactometer,mandarine
1626,Ash,pumpkin,Iodine,crow,Sepia,Zymosimeter,blackcurrant
1627,Cedar,herbs and spice,Rubidium,muskrat,Gray,Torsiograph,guava
1628,Magnolia,green bean,Tellurium,antelope,Copper,Milliammeter,kiwi fruit
1629,Dogwood,white radish,Titanium,moose,Jazzberry Jam,Planimeter,lychee
1630,Holly,jalapeno,Unununium,mole,Cadet Blue,Inclinometer,strawberry
1631,Beech,eggplant,Thulium,coyote,Asparagus,Electrocardiograph,date
1632,Sumac,chayote,Zinc,puma,Red Orange,Elatrometer,currant
1633,Linden,mung bean,Gadolinium,reptile,Mahogany,Electroscope,satsuma
1634,Redwood,marjoram,Yttrium,bull,Shocking Pink,Sclerometer,dragonfruit
1635,Oak,green pepper,Gallium,marmoset,Gold,Algometer,pomelo
1636,Elderberry,hubbard squash,Bohrium,opossum,Black,Oscilloscope,purple mangosteen
1637,Juniper,basil,Phosphorus,mule,Olive Green,Epidiascope,breadfruit
1638,Larch,snap pea,Lanthanum,fox,Inchworm,Hodoscope,peach
1639,Holly,chard,Ununtrium,beaver,Copper,Pluviometer,persimmon
1640,Chestnut,calabrese,Radon,weasel,Beaver,Nephograph,cranberry
1641,Larch,rhubarb,Hafnium,iguana,Purple Mountain's Majesty,Cyanometer,satsuma
1642,Oak,cayenne pepper,Praseodymium,badger,Asparagus,Barometer,guava
1643,Elm,rhubarb,Cobalt,prairie dog,Raw Sienna,Anemometer,tamarillo
1644,Palm,pumpkin,Hafnium,deer,Banana Mania,Topophone,loquat
1645,Ash,yam,Bohrium,mountain goat,Green Yellow,Dichroscope,canary melon
1646,Gum,garlic,Californium,rhinoceros,Tumbleweed,Dynamograph,durian
1647,Linden,topinambur,Mercury,lynx,Purple Heart,Goniometer,ugli fruit
1648,Peach,tabasco pepper,Molybdenum,skunk,Forest Green,Myograph,star fruit
1649,Sumac,pinto bean,Lawrencium,lamb,Melon,Laryngoscope,salal berry
1650,Crabapple,black bean,Germanium,ape,Navy Blue,Stylometer,jujube
1651,Elderberry,spaghetti squash,Radon,panda,Red,Electromyograph,canary melon
1652,Spruce,taro,Thallium,hamster,Indigo,Wattmeter,bell pepper
1653,Hickory,oregano,Thorium,chipmunk,Maroon,Meteorograph,orange
1654,Tupelo,chamomile,Zirconium,koala,Vivid Tangerine,Urinometer,lychee
1655,Linden,nopale,Ununbium,frog,Melon,Snooperscope,pamelo
1656,Birch,frisee,Silver,impala,Laser Lemon,Tremograph,breadfruit
1657,Beech,bok choy,Nickel,antelope,Timberwolf,Microseismograph,orange
1658,Pear,caraway,Lawrencium,finch,Tropical Rain Forest,Fluoroscope,papaya
1659,Beech,turnip,Selenium,cougar,Piggy Pink,Micrograph,pomelo
1660,Holly,kidney bean,Bromine,moose,Purple Mountain's Majesty,Odograph,nectarine
1661,Hawthorn,collard green,Osmium,pig,Wild Strawberry,Focimeter,quince
1662,Locust,parsnip,Copper,mynah bird,Indigo,Zymosimeter,apricot
1663,Hawthorn,radish,Neptunium,rabbit,Sepia,Plemyrameter,apricot
1664,Alder,acorn squash,Iridium,ibex,Spring Green,Phototelegraph,grape
1665,Elderberry,chamomile,Bismuth,llama,Banana Mania,Goniometer,satsuma
1666,Palm,navy bean,Zinc,iguana,Wild Strawberry,Micrometer,physalis
1667,Peach,soy bean,Vanadium,tiger,Blush,Thoracoscope,dragonfruit
1668,Hawthorn,frisee,Erbium,fish,Screamin' Green,Variometer,kiwi fruit
1669,Ash,chard,Terbium,alligator,Cotton Candy,Fathometer,peach
1670,Apple,fiddlehead,Bismuth,impala,Denim,Otoscope,jackfruit
1671,Linden,broccoli,Neptunium,koala,Sepia,Radioscope,passionfruit
1672,Palm,daikon,Lutetium,mule,Macaroni and Cheese,Pyrometer,kiwi fruit
1673,Magnolia,black bean,Promethium,squirrel,Magenta,Hydroscope,rambutan
1674,Locust,delicata,Ununbium,newt,Shadow,Electrocardiograph,cloudberry
1675,Cypress,leek,Vanadium,guinea pig,Razzmatazz,Phonometer,damson
1676,Crabapple,beet,Calcium,bison,Pine Green,Oenometer,feijoa
1677,Hickory,frisee,Titanium,mouse,Atomic Tangerine,Lactoscope,guava
1678,Willow,radicchio,Dysprosium,chameleon,Spring Green,Velocimeter,jujube
1679,Tupelo,new zealand spinach,Europium,mynah bird,Tickle Me Pink,Transmissometer,quince
1680,Cherry,sweet potato,Neon,wildcat,Blue,Selenoscope,cherry
1681,Fir,butternut squash,Ytterbium,porcupine,Pine Green,Taseometer,raisin
1682,Sumac,jalapeno,Europium,parrot,Blue Bell,Kymograph,breadfruit
1683,Linden,acorn squash,Technetium,cat,Midnight Blue,Electrograph,persimmon
1684,Apple,mamey,Tungsten,fish,Jungle Green,Coronagraph,elderberry
1685,Spruce,tabasco pepper,Meitnerium,grizzly bear,Midnight Blue,Fathometer,damson
1686,Fir,fiddlehead,Manganese,platypus,Turquoise Blue,Eidograph,pomelo
1687,Hickory,frisee,Rhodium,hyena,Orchid,Cratometer,blood orange
1688,Tulip Tree,corn,Ununhexium,chipmunk,Eggplant,Oscilloscope,passionfruit
1689,Peach,oregano,Krypton,chameleon,Forest Green,Radiometeorograph,cloudberry
1690,Peach,pea,Neon,chinchilla,Chestnut,Lysimeter,redcurrant
1691,Fir,scallion,Beryllium,zebra,Robin's Egg Blue,Chronograph,blackberry
1692,Larch,thyme,Meitnerium,toad,Tropical Rain Forest,Ratemeter,dragonfruit
1693,Gum,cilantro,Indium,aardvark,Screamin' Green,Spirograph,currant
1694,Cedar,butternut squash,Vanadium,giraffe,Orange,Ratemeter,mandarine
1695,Willow,jicama,Argon,boar,Indigo,Electrograph,watermelon
1696,Gum,celery,Neptunium,kangaroo,Yellow Green,Sepometer,avocado
1697,Willow,topinambur,Ununquadium,elk,Royal Purple,Strabometer,papaya
1698,Chestnut,pumpkin,Sulfur,lynx,Navy Blue,Taximeter,raspberry
1699,Redwood,gem squash,Californium,walrus,Dandelion,Declinometer,avocado
1700,Birch,watercress,Neodymium,shrew,Raw Sienna,Spherometer,cranberry
1701,Apple,fiddlehead,Radon,mountain goat,Sepia,Harmonometer,gooseberry
1702,Poplar,soy bean,Xenon,wombat,White,Micrometer,watermelon
1703,Peach,mushroom,Silicon,mole,Gold,Microseismometer,lime
1704,Elm,lavender,Vanadium,frog,Raw Sienna,Zymosimeter,raisin
1705,Ash,new zealand spinach,Argon,koala,Blue,Electromyograph,coconut
1706,Elderberry,tubers,Zirconium,parakeet,Chestnut,Udometer,fig
1707,Hawthorn,amaranth,Dysprosium,zebra,Dandelion,Psychograph,durian
1708,Locust,chives,Praseodymium,bison,Bittersweet,Ellipsograph,blueberry
1709,Willow,black-eyed pea,Beryllium,mandrill,Wild Blue Yonder,Oscillometer,huckleberry
1710,Plum,chayote,Rubidium,lynx,Cerise,Idiometer,chili pepper
1711,Ash,brussels sprout,Copper,badger,Olive Green,Bathymeter,breadfruit
1712,Yellowwood,skirret,Barium,orangutan,Banana Mania,Hygroscope,blueberry
1713,Pine,kidney bean,Sodium,turtle,Outrageous Orange,Microbarograph,persimmon
1714,Willow,new zealand spinach,Rhenium,porpoise,Jazzberry Jam,Arthroscope,clementine
1715,Gum,chickpea,Tungsten,mynah bird,Electric Lime,Retinoscope,grapefruit
1716,Willow,lentils,Radon,lynx,Fuchsia,Galvanometer,cucumber
1717,Yellowwood,endive,Indium,chipmunk,Cerulean,Scintillometer,cherimoya
1718,Poplar,jerusalem artichoke,Einsteinium,lizard,Carnation Pink,Volumenometer,raspberry
1719,Olive,wasabi,Chromium,rat,Purple Pizzazz,Crescograph,lemon
1720,Linden,white radish,Rutherfordium,mole,Periwinkle,Chronograph,damson
1721,Olive,legume,Dubnium,wolverine,Wild Watermelon,Hydrometer,raisin
1722,Olive,jicama,Bromine,ibex,Wild Watermelon,Pedometer,loquat
1723,Apple,zucchini,Protactinium,grizzly bear,Cornflower,Pelvimeter,pomegranate
1724,Poplar,garlic,Holmium,lamb,Silver,Scotoscope,tomato
1725,Sassafras,parsley,Sulfur,mongoose,Turquoise Blue,Sideroscope,physalis
1726,Ash,soy bean,Radium,hyena,Blue Violet,Mekometer,grapefruit
1727,Birch,chives,Copper,sloth,Tan,Synchroscope,quince
1728,Pear,bean sprout,Thallium,guinea pig,Asparagus,Ergometer,bell pepper
1729,Linden,daikon,Einsteinium,gnu,Purple Heart,Gradiometer,passionfruit
1730,Beech,artichoke,Curium,alpaca,Violet Red,Ophthalmometer,currant
1731,Larch,artichoke,Protactinium,ibex,Razzmatazz,Taximeter,lime
1732,Larch,scallion,Cerium,bison,Dandelion,Densimeter,chili pepper
1733,Olive,corn salad,Arsenic,mountain goat,Fuchsia,Velocimeter,cantaloupe
1734,Elderberry,rhubarb,Oxygen,canary,Jungle Green,Goniometer,pomelo
1735,Juniper,water chestnut,Zinc,mongoose,Inchworm,Polarimeter,apricot
1736,Pear,caraway,Radon,lynx,Red,Audiometer,strawberry
1737,Alder,gem squash,Gallium,mole,Asparagus,Barometer,cucumber
1738,Yellowwood,sweet potato,Ununhexium,gnu,Mountain Meadow,Peirameter,rock melon
1739,Tulip Tree,rhubarb,Lanthanum,otter,Plum,Microseismograph,banana
1740,Apple,azuki bean,Plutonium,wildcat,Wild Watermelon,Nephograph,tomato
1741,Chestnut,habanero,Roentgenium,platypus,Sepia,Tribometer,nectarine
1742,Cherry,butternut squash,Chlorine,hamster,Robin's Egg Blue,Opisometer,canary melon
1743,Fir,rhubarb,Zinc,bull,Aquamarine,Electroencephalograph,watermelon
1744,Tulip Tree,soy bean,Niobium,hippopotamus,Copper,Anemograph,canary melon
1745,Juniper,black bean,Neon,chinchilla,Wild Blue Yonder,Respirometer,mulberry
1746,Walnut,watercress,Caesium,hyena,Shadow,Stethoscope,papaya
1747,Poplar,spinach,Krypton,boar,Aquamarine,Thermometrograph,coconut
1748,Birch,potato,Darmstadtium,whale,Manatee,Polariscope,gooseberry
1749,Locust,dill,Promethium,squirrel,Apricot,Fluorimeter,cucumber
1750,Alder,beet,Chlorine,cheetah,Atomic Tangerine,Cyclograph,plum
1751,Elm,water chestnut,Hafnium,lemur,Carnation Pink,Megascope,blood orange
1752,Pine,taro,Samarium,ground hog,Jungle Green,Seismometer,chili pepper
1753,Cedar,green pepper,Thallium,newt,Sepia,Ophthalmometer,clementine
1754,Linden,scallion,Europium,lemur,Sunglow,Electrodynamometer,eggplant
1755,Pear,anise,Lawrencium,gopher,Gray,Urethroscope,clementine
1756,Holly,chives,Ytterbium,lizard,Wild Strawberry,Konimeter,bilberry
1757,Willow,patty pan,Uranium,porpoise,Piggy Pink,Hyetometer,rock melon
1758,Pine,eggplant,Thulium,ape,Granny Smith Apple,Qualimeter,huckleberry
1759,Hickory,chickpea,Neon,parrot,Atomic Tangerine,Eudiometer,durian
1760,Birch,chayote,Magnesium,polar bear,White,Recipiangle,redcurrant
1761,Palm,tubers,Lawrencium,ewe,Burnt Orange,Phonautograph,salal berry
1762,Ash,patty pan,Berkelium,boar,Cotton Candy,Fiberscope,jujube
1763,Dogwood,wasabi,Krypton,walrus,Pine Green,Haptometer,elderberry
1764,Hickory,collard green,Holmium,ibex,Indigo,Scintillometer,goji berry
1765,Poplar,topinambur,Dubnium,baboon,Mango Tango,Speedometer,durian
1766,Walnut,pinto bean,Tungsten,panda,Fern,Bathymeter,jambul
1767,Hawthorn,pea,Rutherfordium,polar bear,Wisteria,Spirograph,pear
1768,Linden,lentils,Calcium,hyena,Beaver,Pelvimeter,kumquat
1769,Oak,chamomile,Praseodymium,otter,Cotton Candy,Alcoholometer,boysenberry
1770,Beech,cilantro,Mercury,mynah bird,Sea Green,Oleometer,blueberry
1771,Palm,cabbage,Copper,alpaca,Antique Brass,Spectrophotometer,dragonfruit
1772,Sassafras,legume,Osmium,lemur,Yellow,Actinometer,cherry
1773,Dogwood,watercress,Lithium,goat,Copper,Colorimeter,raisin
1774,Redwood,brussels sprout,Iodine,horse,Burnt Orange,Interferometer,loquat
1775,Apple,kale,Darmstadtium,antelope,Mango Tango,Stauroscope,jambul
1776,Elm,celeriac,Barium,shrew,Copper,Planigraph,huckleberry
1777,Redwood,calabrese,Protactinium,wolf,Tan,Ohmmeter,star fruit
1778,Poplar,turnip,Europium,woodchuck,Razzle Dazzle Rose,Turbidimeter,raisin
1779,Hawthorn,herbs and spice,Californium,giraffe,Macaroni and Cheese,Cymometer,mango
1780,Spruce,carrot,Ytterbium,mandrill,Razzle Dazzle Rose,Declinometer,salal berry
1781,Linden,basil,Gallium,chinchilla,Yellow,Dosimeter,coconut
1782,Fir,courgette,Aluminium,newt,Sunset Orange,Labidometer,nectarine
1783,Yellowwood,black bean,Magnesium,parakeet,Blue Bell,Geothermometer,damson
1784,Plum,endive,Titanium,elephant,Antique Brass,Dynamometer,raisin
1785,Sassafras,new zealand spinach,Nitrogen,goat,Unmellow Yellow,Laryngoscope,clementine
1786,Alder,patty pan,Gallium,donkey,Blue Bell,Passimeter,banana
1787,Fir,dill,Rhenium,orangutan,Banana Mania,Declinometer,nectarine
1788,Locust,black bean,Hassium,porpoise,Cerulean,Thermograph,apple
1789,Chestnut,scallion,Bromine,oryx,Canary,Potentiometer,papaya
1790,Peach,dill,Vanadium,ewe,Shamrock,Diplograph,avocado
1791,Holly,arugula,Plutonium,orangutan,Midnight Blue,Alkalimeter,eggplant
1792,Larch,thyme,Vanadium,dingo,Vivid Violet,Meldometer,loquat
1793,Larch,azuki bean,Antimony,wolverine,Wild Strawberry,Dioptometer,nut
1794,Maple,green bean,Einsteinium,raccoon,Almond,Diaphanometer,breadfruit
1795,Chestnut,kale,Zirconium,gazelle,Melon,Telemeter,avocado
1796,Palm,turnip,Samarium,wolf,Salmon,Stereoscope,date
1797,Elderberry,habanero,Technetium,rhinoceros,Burnt Sienna,Eriometer,blackcurrant
1798,Larch,basil,Zirconium,cheetah,Scarlet,Speedometer,strawberry
1799,Yellowwood,bean sprout,Chromium,ape,Goldenrod,Tropometer,chili pepper
1800,Cherry,basil,Barium,marmoset,Tropical Rain Forest,Diffractometer,breadfruit
1801,Walnut,habanero,Technetium,fish,Jungle Green,Hypsometer,mango
1802,Willow,frisee,Argon,chimpanzee,Mauvelous,Radioscope,lychee
1803,Sassafras,alfalfa sprout,Oxygen,opossum,Cadet Blue,Actinograph,jujube
1804,Pine,corn,Lanthanum,dog,Wild Strawberry,Turbidimeter,goji berry
1805,Crabapple,anise,Neptunium,reptile,Denim,Heliometer,nectarine
1806,Pear,broccoflower,Dubnium,squirrel,Wisteria,Refractometer,apple
1807,Chestnut,chayote,Boron,deer,Mahogany,Pneumograph,jambul
1808,Tupelo,pumpkin,Erbium,guinea pig,Blue Bell,Laparoscope,pineapple
1809,Willow,topinambur,Zinc,elephant,Turquoise Blue,Hyetometer,blackberry
